radius_nm,amplitude,phase_rad
84.6146,0.906289,-2.02307
84.6847,0.906101,-2.0159
84.7548,0.905913,-2.00874
84.8248,0.905726,-2.0016
84.8949,0.90554,-1.99447
84.965,0.905354,-1.98733
85.035,0.905169,-1.98021
85.1051,0.904984,-1.97307
85.1752,0.9048,-1.96596
85.2452,0.904616,-1.95882
85.3153,0.904434,-1.95173
85.3854,0.904252,-1.94465
85.4555,0.904072,-1.93757
85.5255,0.903891,-1.9305
85.5956,0.903711,-1.92338
85.6657,0.90353,-1.91626
85.7357,0.90335,-1.90913
85.8058,0.903171,-1.902
85.8759,0.902992,-1.89489
85.9459,0.902815,-1.88779
86.016,0.902638,-1.88069
86.0861,0.902462,-1.87363
86.1562,0.902287,-1.86656
86.2262,0.902114,-1.85952
86.2963,0.901941,-1.85245
86.3664,0.901766,-1.84529
86.4364,0.901592,-1.8381
86.5065,0.901419,-1.83093
86.5766,0.901247,-1.82378
86.6466,0.901074,-1.8165
86.7167,0.900901,-1.80924
86.7868,0.90073,-1.802
86.8569,0.90056,-1.79477
86.9269,0.900392,-1.78756
86.997,0.900223,-1.78034
87.0671,0.900055,-1.77308
87.1371,0.899889,-1.76584
87.2072,0.899723,-1.75862
87.2773,0.899558,-1.75137
87.3473,0.899394,-1.74415
87.4174,0.899232,-1.73693
87.4875,0.89907,-1.72973
87.5576,0.898909,-1.72252
87.6276,0.898748,-1.71525
87.6977,0.898588,-1.70799
87.7678,0.898429,-1.70074
87.8378,0.898271,-1.69349
87.9079,0.898114,-1.68624
87.978,0.897958,-1.67898
88.048,0.897803,-1.67175
88.1181,0.89765,-1.66454
88.1882,0.897498,-1.65732
88.2583,0.897347,-1.65014
88.3283,0.897196,-1.64293
88.3984,0.897047,-1.63573
88.4685,0.8969,-1.62854
88.5385,0.896753,-1.62137
88.6086,0.896607,-1.61419
88.6787,0.896463,-1.60704
88.7487,0.89632,-1.5999
88.8188,0.896179,-1.59277
88.8889,0.896039,-1.58567
88.959,0.8959,-1.57856
89.029,0.895762,-1.57145
89.0991,0.895626,-1.56437
89.1692,0.89549,-1.55729
89.2392,0.895355,-1.55016
89.3093,0.895222,-1.54307
89.3794,0.895089,-1.53598
89.4494,0.894959,-1.52892
89.5195,0.894829,-1.52185
89.5896,0.8947,-1.5148
89.6597,0.894573,-1.50775
89.7297,0.894448,-1.50074
89.7998,0.894324,-1.49373
89.8699,0.894201,-1.48675
89.9399,0.894079,-1.47978
90.01,0.893959,-1.47281
90.0801,0.89384,-1.46582
90.1502,0.89372,-1.45874
90.2202,0.893601,-1.45167
90.2903,0.893483,-1.44459
90.3604,0.893366,-1.43747
90.4304,0.89325,-1.43031
90.5005,0.893135,-1.42319
90.5706,0.893021,-1.41605
90.6406,0.892909,-1.40896
90.7107,0.892797,-1.40182
90.7808,0.892686,-1.39464
90.8509,0.892575,-1.38744
90.9209,0.892467,-1.38027
90.991,0.892359,-1.3731
91.0611,0.892253,-1.36594
91.1311,0.892148,-1.35881
91.2012,0.892045,-1.35168
91.2713,0.891943,-1.34456
91.3413,0.891841,-1.33741
91.4114,0.891741,-1.33025
91.4815,0.891642,-1.32311
91.5516,0.891544,-1.31599
91.6216,0.891447,-1.30886
91.6917,0.891352,-1.30174
91.7618,0.891258,-1.29464
91.8318,0.891166,-1.28755
91.9019,0.891074,-1.28048
91.972,0.890984,-1.2734
92.042,0.890895,-1.26632
92.1121,0.890807,-1.25926
92.1822,0.89072,-1.25221
92.2523,0.890634,-1.24517
92.3223,0.89055,-1.23812
92.3924,0.890467,-1.2311
92.4625,0.890385,-1.22409
92.5325,0.890304,-1.21709
92.6026,0.890225,-1.21011
92.6727,0.890146,-1.20311
92.7427,0.890068,-1.1961
92.8128,0.889991,-1.1891
92.8829,0.889915,-1.18208
92.953,0.88984,-1.17507
93.023,0.889766,-1.16807
93.0931,0.889694,-1.16109
93.1632,0.889622,-1.15412
93.2332,0.889551,-1.14714
93.3033,0.889482,-1.14017
93.3734,0.889413,-1.13322
93.4434,0.889345,-1.1263
93.5135,0.889279,-1.11938
93.5836,0.889213,-1.11248
93.6537,0.889148,-1.10558
93.7237,0.889084,-1.0987
93.7938,0.889021,-1.09179
93.8639,0.888956,-1.08466
93.9339,0.888893,-1.07771
94.004,0.88883,-1.07068
94.0741,0.888767,-1.0636
94.1441,0.888705,-1.05646
94.2142,0.888643,-1.04931
94.2843,0.888581,-1.04219
94.3544,0.888521,-1.03507
94.4244,0.888461,-1.02797
94.4945,0.888401,-1.02081
94.5646,0.888342,-1.01364
94.6346,0.888284,-1.00649
94.7047,0.888226,-0.999348
94.7748,0.888169,-0.992204
94.8448,0.888112,-0.985064
94.9149,0.888056,-0.977918
94.985,0.888,-0.970737
95.0551,0.887944,-0.963569
95.1251,0.88789,-0.956391
95.1952,0.887835,-0.949221
95.2653,0.887781,-0.942062
95.3353,0.887728,-0.934916
95.4054,0.887675,-0.927775
